id,provincia_id,nombre
1,1,"Comuna 1"
2,1,"Comuna 2"
3,1,"Comuna 3"
4,1,"Comuna 4"
5,1,"Comuna 5"
6,1,"Comuna 6"
7,1,"Comuna 7"
8,1,"Comuna 8"
9,1,"Comuna 9"
10,1,"Comuna 10"
11,1,"Comuna 11"
12,1,"Comuna 12"
13,1,"Comuna 13"
14,1,"Comuna 14"
15,1,"Comuna 15"
16,2,"Adolfo Alsina"
17,2,"Adolfo Gonzales Chaves"
18,2,Alberti
19,2,"Almirante Brown"
20,2,Avellaneda
21,2,Ayacucho
22,2,Azul
23,2,"Bahía Blanca"
24,2,Balcarce
25,2,Baradero
26,2,Arrecifes
27,2,"Benito Juárez"
28,2,Berazategui
29,2,Berisso
30,2,Bolívar
31,2,Bragado
32,2,Brandsen
33,2,Campana
34,2,Cañuelas
35,2,"Capitán Sarmiento"
36,2,"Carlos Casares"
37,2,"Carlos Tejedor"
38,2,"Carmen de Areco"
39,2,Castelli
40,2,Colón
41,2,"Coronel de Marina Leonardo Rosales"
42,2,"Coronel Dorrego"
43,2,"Coronel Pringles"
44,2,"Coronel Suárez"
45,2,Chacabuco
46,2,Chascomús
47,2,Chivilcoy
48,2,Daireaux
49,2,Dolores
50,2,Ensenada
51,2,Escobar
52,2,"Esteban Echeverría"
53,2,"Exaltación de la Cruz"
54,2,Ezeiza
55,2,"Florencio Varela"
56,2,"Florentino Ameghino"
57,2,"General Alvarado"
58,2,"General Alvear"
59,2,"General Arenales"
60,2,"General Belgrano"
61,2,"General Guido"
62,2,"General Juan Madariaga"
63,2,"General La Madrid"
64,2,"General Las Heras"
65,2,"General Lavalle"
66,2,"General Paz"
67,2,"General Pinto"
68,2,"General Pueyrredón"
69,2,"General Rodríguez"
70,2,"General San Martín"
71,2,"General Viamonte"
72,2,"General Villegas"
73,2,Guaminí
74,2,"Hipólito Yrigoyen"
75,2,Hurlingham
76,2,Ituzaingó
77,2,"José C. Paz"
78,2,Junín
79,2,"La Costa"
80,2,"La Matanza"
81,2,Lanús
82,2,"La Plata"
83,2,Laprida
84,2,"Las Flores"
85,2,"Leandro N. Alem"
86,2,Lincoln
87,2,Lobería
88,2,Lobos
89,2,"Lomas de Zamora"
90,2,Luján
91,2,Magdalena
92,2,Maipú
